ticker,price_date,close_price
KO,2016-12-22,40.528
MSFT,2016-12-22,62.474
XOM,2016-12-22,87.539
AAPL,2016-12-23,114.68
JNJ,2016-12-23,113.72
JPM,2016-12-23,85.108
KO,2016-12-23,40.576
MSFT,2016-12-23,62.17
XOM,2016-12-23,87.383
AAPL,2016-12-27,115.41
JNJ,2016-12-27,113.67
JPM,2016-12-27,85.187
KO,2016-12-27,40.586
MSFT,2016-12-27,62.21
XOM,2016-12-27,87.423
AAPL,2016-12-28,114.92
JNJ,2016-12-28,112.87
JPM,2016-12-28,84.571
KO,2016-12-28,40.372
MSFT,2016-12-28,61.923
XOM,2016-12-28,86.989
AAPL,2016-12-29,114.89
JNJ,2016-12-29,113.25
JPM,2016-12-29,83.973
KO,2016-12-29,40.576
MSFT,2016-12-29,61.836
XOM,2016-12-29,87.036
AAPL,2016-12-30,113.99
JNJ,2016-12-30,112.98
JPM,2016-12-30,84.365
KO,2016-12-30,40.44
MSFT,2016-12-30,61.089
XOM,2016-12-30,86.949
AAPL,2017-01-03,114.31
JNJ,2017-01-03,113.6
JPM,2017-01-03,85.283
KO,2017-01-03,40.772
MSFT,2017-01-03,61.52
XOM,2017-01-03,87.556
AAPL,2017-01-04,114.19
JNJ,2017-01-04,113.41
JPM,2017-01-04,85.441
KO,2017-01-04,40.626
MSFT,2017-01-04,61.246
XOM,2017-01-04,86.594
AAPL,2017-01-05,114.77
JNJ,2017-01-05,114.6
JPM,2017-01-05,84.655
KO,2017-01-05,40.723
MSFT,2017-01-05,61.246
XOM,2017-01-05,85.304
AAPL,2017-01-06,116.04
JNJ,2017-01-06,114.05
JPM,2017-01-06,84.665
KO,2017-01-06,40.713
MSFT,2017-01-06,61.776
XOM,2017-01-06,85.255
AAPL,2017-01-09,117.11
JNJ,2017-01-09,114.03
JPM,2017-01-09,84.724
KO,2017-01-09,40.303
MSFT,2017-01-09,61.58
XOM,2017-01-09,83.848
AAPL,2017-01-10,117.23
JNJ,2017-01-10,113.92
JPM,2017-01-10,84.969
KO,2017-01-10,40.03
MSFT,2017-01-10,61.56
XOM,2017-01-10,82.778
AAPL,2017-01-11,117.86
JNJ,2017-01-11,112.51
JPM,2017-01-11,85.609
KO,2017-01-11,40.04
MSFT,2017-01-11,62.12
XOM,2017-01-11,83.626
AAPL,2017-01-12,117.37
JNJ,2017-01-12,112.4
JPM,2017-01-12,84.782
KO,2017-01-12,39.943
MSFT,2017-01-12,61.55
XOM,2017-01-12,83.174
AAPL,2017-01-13,117.16
JNJ,2017-01-13,112.39
JPM,2017-01-13,85.235
KO,2017-01-13,39.874
MSFT,2017-01-13,61.639
XOM,2017-01-13,83.184
AAPL,2017-01-17,118.1
JNJ,2017-01-17,112.64
JPM,2017-01-17,82.139
KO,2017-01-17,40.205
MSFT,2017-01-17,61.471
XOM,2017-01-17,84.156
AAPL,2017-01-18,118.09
JNJ,2017-01-18,112.48
JPM,2017-01-18,82.521
KO,2017-01-18,40.275
MSFT,2017-01-18,61.442
XOM,2017-01-18,83.116
AAPL,2017-01-19,117.89
JNJ,2017-01-19,111.99
JPM,2017-01-19,81.902
KO,2017-01-19,40.128
MSFT,2017-01-19,61.246
XOM,2017-01-19,81.624
AAPL,2017-01-20,118.1
JNJ,2017-01-20,111.94
JPM,2017-01-20,82.256
KO,2017-01-20,40.303
MSFT,2017-01-20,61.678
XOM,2017-01-20,82.741
AAPL,2017-01-23,118.19
JNJ,2017-01-23,111.7
JPM,2017-01-23,82.296
KO,2017-01-23,40.411
MSFT,2017-01-23,61.894
XOM,2017-01-23,81.853
AAPL,2017-01-24,118.07
JNJ,2017-01-24,109.6
JPM,2017-01-24,83.288
KO,2017-01-24,40.869
MSFT,2017-01-24,62.439
XOM,2017-01-24,81.969
AAPL,2017-01-25,119.95
JNJ,2017-01-25,110.62
JPM,2017-01-25,84.577
KO,2017-01-25,41.083
MSFT,2017-01-25,62.601
XOM,2017-01-25,82.211
AAPL,2017-01-26,120.01
JNJ,2017-01-26,109.67
JPM,2017-01-26,85.283
KO,2017-01-26,40.782
MSFT,2017-01-26,63.182
XOM,2017-01-26,82.46
AAPL,2017-01-27,120.02
JNJ,2017-01-27,111.18
JPM,2017-01-27,85.46
KO,2017-01-27,40.43
MSFT,2017-01-27,64.666
XOM,2017-01-27,82.374
AAPL,2017-01-30,119.7
JNJ,2017-01-30,110.94
JPM,2017-01-30,84.577
KO,2017-01-30,40.362
MSFT,2017-01-30,64.028
XOM,2017-01-30,81.747
AAPL,2017-01-31,119.43
JNJ,2017-01-31,111.06
JPM,2017-01-31,83.201
KO,2017-01-31,40.547
MSFT,2017-01-31,63.555
XOM,2017-01-31,80.813
AAPL,2017-02-01,126.7
JNJ,2017-02-01,111.04
JPM,2017-02-01,83.515
KO,2017-02-01,40.245
MSFT,2017-02-01,62.504
XOM,2017-02-01,79.898
AAPL,2017-02-02,126.5
JNJ,2017-02-02,111.37
JPM,2017-02-02,83.161
KO,2017-02-02,40.382
MSFT,2017-02-02,62.1
XOM,2017-02-02,80.39
AAPL,2017-02-03,127.03
JNJ,2017-02-03,111.44
JPM,2017-02-03,85.707
KO,2017-02-03,40.519
MSFT,2017-02-03,62.601
XOM,2017-02-03,80.477
AAPL,2017-02-06,128.23
JNJ,2017-02-06,111.2
JPM,2017-02-06,85.303
KO,2017-02-06,40.537
MSFT,2017-02-06,62.563
XOM,2017-02-06,80.255
AAPL,2017-02-07,129.44
JNJ,2017-02-07,111.28
JPM,2017-02-07,85.255
KO,2017-02-07,40.869
MSFT,2017-02-07,62.357
XOM,2017-02-07,79.735
AAPL,2017-02-08,129.95
JNJ,2017-02-08,111.2
JPM,2017-02-08,84.507
KO,2017-02-08,40.986
MSFT,2017-02-08,62.267
XOM,2017-02-08,79.21
AAPL,2017-02-09,130.89
JNJ,2017-02-09,111.87
JPM,2017-02-09,85.727
KO,2017-02-09,40.235
MSFT,2017-02-09,62.975
XOM,2017-02-09,79.56
AAPL,2017-02-10,130.6
JNJ,2017-02-10,113.01
JPM,2017-02-10,85.53
KO,2017-02-10,39.582
MSFT,2017-02-10,62.916
XOM,2017-02-10,80.221
AAPL,2017-02-13,131.75
JNJ,2017-02-13,113.64
JPM,2017-02-13,86.66
KO,2017-02-13,39.621
MSFT,2017-02-13,63.624
XOM,2017-02-13,80.688
AAPL,2017-02-14,133.45
JNJ,2017-02-14,114.11
JPM,2017-02-14,88.046
KO,2017-02-14,39.532
MSFT,2017-02-14,63.862
XOM,2017-02-14,80.512
AAPL,2017-02-15,133.94
JNJ,2017-02-15,114.93
JPM,2017-02-15,89.058
KO,2017-02-15,39.445
MSFT,2017-02-15,63.822
XOM,2017-02-15,80.843
AAPL,2017-02-16,133.78
JNJ,2017-02-16,115.79
JPM,2017-02-16,89.001
KO,2017-02-16,40.187
MSFT,2017-02-16,63.812
XOM,2017-02-16,80.007
AAPL,2017-02-17,134.15
JNJ,2017-02-17,116.56
JPM,2017-02-17,88.705
KO,2017-02-17,40.215
MSFT,2017-02-17,63.911
XOM,2017-02-17,79.481
AAPL,2017-02-21,135.12
JNJ,2017-02-21,117.34
JPM,2017-02-21,89.472
KO,2017-02-21,40.44
MSFT,2017-02-21,63.782
XOM,2017-02-21,79.608
AAPL,2017-02-22,135.53
JNJ,2017-02-22,117.2
JPM,2017-02-22,89.522
KO,2017-02-22,40.576
MSFT,2017-02-22,63.654
XOM,2017-02-22,78.675
AAPL,2017-02-23,134.92
JNJ,2017-02-23,119.34
JPM,2017-02-23,89.589
KO,2017-02-23,40.636
MSFT,2017-02-23,63.911
XOM,2017-02-23,79.501
AAPL,2017-02-24,135.08
JNJ,2017-02-24,121.15
JPM,2017-02-24,88.804
KO,2017-02-24,40.752
MSFT,2017-02-24,63.911
XOM,2017-02-24,78.822
AAPL,2017-02-27,135.35
JNJ,2017-02-27,120.82
JPM,2017-02-27,88.901
KO,2017-02-27,40.645
MSFT,2017-02-27,63.526
XOM,2017-02-27,79.268
AAPL,2017-02-28,135.41
JNJ,2017-02-28,120.63
JPM,2017-02-28,89.088
KO,2017-02-28,40.928
MSFT,2017-02-28,63.278
XOM,2017-02-28,79.054
AAPL,2017-03-01,138.18
JNJ,2017-03-01,122.26
JPM,2017-03-01,92.018
KO,2017-03-01,41.123
MSFT,2017-03-01,64.198
XOM,2017-03-01,80.706
AAPL,2017-03-02,137.36
JNJ,2017-03-02,122.04
JPM,2017-03-02,90.583
KO,2017-03-02,41.424
MSFT,2017-03-02,63.308
XOM,2017-03-02,80.98
AAPL,2017-03-03,138.17
JNJ,2017-03-03,122.19
JPM,2017-03-03,91.232
KO,2017-03-03,41.434
MSFT,2017-03-03,63.545
XOM,2017-03-03,80.163
AAPL,2017-03-06,137.73
JNJ,2017-03-06,122.12
JPM,2017-03-06,90.367
KO,2017-03-06,41.143
MSFT,2017-03-06,63.565
XOM,2017-03-06,80.522
AAPL,2017-03-07,137.91
JNJ,2017-03-07,122.23
JPM,2017-03-07,89.866
KO,2017-03-07,40.957
MSFT,2017-03-07,63.694
XOM,2017-03-07,80.221
AAPL,2017-03-08,137.4
JNJ,2017-03-08,122.5
JPM,2017-03-08,89.669
KO,2017-03-08,40.957
MSFT,2017-03-08,64.278
XOM,2017-03-08,78.772
AAPL,2017-03-09,137.08
JNJ,2017-03-09,124.33
JPM,2017-03-09,90.023
KO,2017-03-09,40.996
MSFT,2017-03-09,64.02
XOM,2017-03-09,79.394
AAPL,2017-03-10,137.54
JNJ,2017-03-10,124.59
JPM,2017-03-10,89.738
KO,2017-03-10,41.25
MSFT,2017-03-10,64.218
XOM,2017-03-10,79.337
AAPL,2017-03-13,137.6
JNJ,2017-03-13,125.05
JPM,2017-03-13,89.816
KO,2017-03-13,41.358
MSFT,2017-03-13,64
XOM,2017-03-13,79.151
AAPL,2017-03-14,137.39
JNJ,2017-03-14,125.41
JPM,2017-03-14,89.963
KO,2017-03-14,41.298
MSFT,2017-03-14,63.704
XOM,2017-03-14,78.733
AAPL,2017-03-15,138.83
JNJ,2017-03-15,127.3
JPM,2017-03-15,90.18
KO,2017-03-15,41.446
MSFT,2017-03-15,64.04
XOM,2017-03-15,79.715
AAPL,2017-03-16,139.06
JNJ,2017-03-16,126.8
JPM,2017-03-16,90.091
KO,2017-03-16,41.574
MSFT,2017-03-16,63.931
XOM,2017-03-16,79.784
AAPL,2017-03-17,138.36
JNJ,2017-03-17,126.42
JPM,2017-03-17,89.148
KO,2017-03-17,41.358
MSFT,2017-03-17,64.158
XOM,2017-03-17,79.715
AAPL,2017-03-20,139.83
JNJ,2017-03-20,126.43
JPM,2017-03-20,88.509
KO,2017-03-20,41.506
MSFT,2017-03-20,64.218
XOM,2017-03-20,79.715
AAPL,2017-03-21,138.23
JNJ,2017-03-21,125.61
JPM,2017-03-21,85.914
KO,2017-03-21,41.82
MSFT,2017-03-21,63.506
XOM,2017-03-21,79.55
AAPL,2017-03-22,139.79
JNJ,2017-03-22,124.64
JPM,2017-03-22,86.051
KO,2017-03-22,41.702
MSFT,2017-03-22,64.316
XOM,2017-03-22,79.481
AAPL,2017-03-23,139.29
JNJ,2017-03-23,124.28
JPM,2017-03-23,85.914
KO,2017-03-23,41.496
MSFT,2017-03-23,64.158
XOM,2017-03-23,79.58
AAPL,2017-03-24,139.01
JNJ,2017-03-24,123.86
JPM,2017-03-24,85.814
KO,2017-03-24,41.446
MSFT,2017-03-24,64.268
XOM,2017-03-24,78.967
AAPL,2017-03-27,139.25
JNJ,2017-03-27,124.18
JPM,2017-03-27,85.766
KO,2017-03-27,41.644
MSFT,2017-03-27,64.386
XOM,2017-03-27,78.986
AAPL,2017-03-28,142.14
JNJ,2017-03-28,124.04
JPM,2017-03-28,87.103
KO,2017-03-28,41.752
MSFT,2017-03-28,64.574
XOM,2017-03-28,79.56
AAPL,2017-03-29,142.46
JNJ,2017-03-29,123.32
JPM,2017-03-29,86.779
KO,2017-03-29,41.742
MSFT,2017-03-29,64.752
XOM,2017-03-29,79.735
AAPL,2017-03-30,142.27
JNJ,2017-03-30,123.06
JPM,2017-03-30,87.525
KO,2017-03-30,41.918
MSFT,2017-03-30,64.99
XOM,2017-03-30,81.368
AAPL,2017-03-31,142
JNJ,2017-03-31,122.95
JPM,2017-03-31,86.355
KO,2017-03-31,41.762
MSFT,2017-03-31,65.138
XOM,2017-03-31,79.725
AAPL,2017-04-03,142.04
